,plate_forme,rating,nb_tokens,category_nps,category_numeric,adjs_counts,nouns_counts,pronouns_counts,prop_nouns_counts,adverbs_counts,verbs_counts,interjections_counts,symbols_counts
5554,CDISCOUNT,1,36,Détracteur,-1,1,8,1,2,4,5,0,0
5555,CDISCOUNT,5,5,Promoteur,1,1,2,0,1,0,0,0,0
5556,CDISCOUNT,4,7,Promoteur,1,1,3,2,0,1,0,0,0
5557,CDISCOUNT,5,8,Promoteur,1,2,4,0,0,2,0,0,0
5558,CDISCOUNT,5,6,Promoteur,1,3,2,0,0,0,0,0,0
5559,CDISCOUNT,5,15,Promoteur,1,1,4,0,1,1,1,0,0
5560,CDISCOUNT,5,7,Promoteur,1,2,2,0,0,1,0,0,0
5561,CDISCOUNT,5,5,Promoteur,1,0,3,0,0,0,0,0,0
5562,CDISCOUNT,5,14,Promoteur,1,0,5,0,0,0,1,0,0
5563,CDISCOUNT,1,189,Détracteur,-1,14,23,11,3,11,19,0,0
5564,CDISCOUNT,1,11,Détracteur,-1,2,2,2,0,3,0,0,0
5565,CDISCOUNT,1,177,Détracteur,-1,12,37,10,3,7,17,0,0
5566,CDISCOUNT,5,3,Promoteur,1,1,1,0,1,0,0,0,0
5567,CDISCOUNT,4,77,Promoteur,1,4,15,4,3,7,12,0,0
5568,CDISCOUNT,1,46,Détracteur,-1,1,10,3,0,3,6,0,0
5569,CDISCOUNT,1,85,Détracteur,-1,6,16,9,3,6,9,0,0
5570,CDISCOUNT,1,228,Détracteur,-1,12,27,15,2,14,34,0,0
5571,CDISCOUNT,1,81,Détracteur,-1,3,11,11,0,9,13,0,0
5572,CDISCOUNT,5,18,Promoteur,1,1,4,3,0,0,3,0,0
5573,CDISCOUNT,5,16,Promoteur,1,0,6,0,1,0,2,0,0
5574,CDISCOUNT,5,7,Promoteur,1,1,3,0,1,0,0,0,0
5575,CDISCOUNT,4,3,Promoteur,1,0,1,0,0,0,1,0,0
5576,CDISCOUNT,1,47,Détracteur,-1,4,5,5,3,7,7,0,0
5577,CDISCOUNT,5,10,Promoteur,1,1,2,1,0,1,1,0,0
5578,CDISCOUNT,5,7,Promoteur,1,1,2,0,0,0,0,0,0
5579,CDISCOUNT,5,2,Promoteur,1,0,0,0,0,2,0,0,0
5580,CDISCOUNT,5,29,Promoteur,1,0,3,4,0,5,6,0,0
5581,CDISCOUNT,5,15,Promoteur,1,1,5,0,1,1,1,0,0
5582,CDISCOUNT,4,2,Promoteur,1,0,2,0,0,0,0,0,0
5583,CDISCOUNT,2,9,Détracteur,-1,0,2,0,0,1,1,0,0
5584,CDISCOUNT,4,10,Promoteur,1,1,3,0,0,0,2,0,0
5585,CDISCOUNT,4,6,Promoteur,1,0,0,1,0,2,1,0,0
5586,CDISCOUNT,2,439,Détracteur,-1,17,76,20,8,21,48,0,0
5587,CDISCOUNT,1,80,Détracteur,-1,4,15,6,0,10,8,0,0
5588,CDISCOUNT,1,100,Détracteur,-1,5,18,11,1,8,11,0,0
5589,CDISCOUNT,5,27,Promoteur,1,0,6,1,1,3,2,0,0
5590,CDISCOUNT,5,3,Promoteur,1,2,0,0,0,0,0,0,0
5591,CDISCOUNT,1,95,Détracteur,-1,1,19,12,1,5,12,0,0
5592,CDISCOUNT,5,9,Promoteur,1,1,3,0,0,1,0,0,0
5593,CDISCOUNT,1,55,Détracteur,-1,1,8,5,3,2,9,0,0
5594,CDISCOUNT,1,39,Détracteur,-1,2,7,3,0,3,7,0,0
5595,CDISCOUNT,5,95,Promoteur,1,10,20,7,3,7,7,0,0
5596,CDISCOUNT,3,9,Neutre,0,1,1,0,2,1,0,0,0
5597,CDISCOUNT,5,4,Promoteur,1,1,2,0,0,0,0,0,0
5598,CDISCOUNT,5,6,Promoteur,1,1,1,1,0,1,1,0,0
5599,CDISCOUNT,5,7,Promoteur,1,1,3,1,0,0,0,0,0
5600,CDISCOUNT,5,2,Promoteur,1,1,0,0,0,0,1,0,0
5601,CDISCOUNT,1,34,Détracteur,-1,4,6,2,2,2,3,0,0
5602,CDISCOUNT,5,18,Promoteur,1,1,6,1,0,1,2,0,0
5603,CDISCOUNT,1,44,Détracteur,-1,1,8,5,0,7,9,0,0
5604,CDISCOUNT,1,28,Détracteur,-1,2,4,4,1,2,4,0,0
5605,CDISCOUNT,3,4,Neutre,0,1,2,0,0,0,0,0,0
5606,CDISCOUNT,5,6,Promoteur,1,0,2,0,0,2,0,0,0
5607,CDISCOUNT,4,19,Promoteur,1,3,7,0,0,1,1,0,0
5608,CDISCOUNT,5,27,Promoteur,1,4,5,2,0,4,1,0,0
5609,CDISCOUNT,5,5,Promoteur,1,0,1,0,0,0,2,0,0
5610,CDISCOUNT,5,5,Promoteur,1,2,0,0,1,0,0,0,0
5611,CDISCOUNT,5,3,Promoteur,1,1,0,0,0,0,2,0,0
5612,CDISCOUNT,4,16,Promoteur,1,1,4,1,3,0,1,0,0
5613,CDISCOUNT,1,93,Détracteur,-1,4,18,4,1,2,12,0,0
5614,CDISCOUNT,1,121,Détracteur,-1,6,14,12,3,9,20,0,0
5615,CDISCOUNT,4,5,Promoteur,1,1,0,0,0,1,1,0,0
